target_id,accession,virus,segment,length,ncbi_description,record_id,record_type,sample_id,family,reads_assigned,reads_found,median_identity,genome_coverage_breadth,confidence,pc1,pc2,pc3,pc4,pc5,pc6,cluster
SARS-CoV-2|genome|NC_045512,NC_045512,SARS-CoV-2,genome,29903,"NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome",SARS-CoV-2|genome|NC_045512,reference,,Coronaviridae,0,0,,,,-0.009134819843608597,0.006841747215466423,-0.002772547381926283,9.804605919856379e-05,-0.0004781836009575481,0.000634119842444735,6
Rhinovirus_A|genome|NC_001617,NC_001617,Rhinovirus A,genome,7152,"NC_001617.1 Human rhinovirus 89, complete genome",Rhinovirus_A|genome|NC_001617,reference,,Picornaviridae,0,0,,,,-0.006912082176905759,0.000893071503913619,0.0015849961255447664,-0.0006231905867820565,0.00043745683473439784,9.776086519925737e-05,2
Rhinovirus_B|genome|NC_001490,NC_001490,Rhinovirus B,genome,7212,"NC_001490.1 Rhinovirus B14, complete sequence",Rhinovirus_B|genome|NC_001490,reference,,Picornaviridae,0,0,,,,-0.005135118397515244,-0.0033201422391524738,0.0013153433695849734,-0.0007059780898675155,0.0009388627507830889,-1.2068475463621464e-05,2
Rhinovirus_C|genome|NC_009996,NC_009996,Rhinovirus C,genome,7099,"NC_009996.1 Human rhinovirus C, complete genome",Rhinovirus_C|genome|NC_009996,reference,,Picornaviridae,0,0,,,,-0.007825252300114802,-0.00583310662833772,0.0002446824286187793,-0.0008464504155716524,0.0006243538691270773,0.002291028597206907,2
Influenza_A|segment_1_PB2|NC_002016,NC_002016,Influenza A,segment_1_PB2,1027,"NC_002016.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 7, complete sequence",Influenza_A|segment_1_PB2|NC_002016,reference,,Orthomyxoviridae,0,0,,,,0.0033512582374041516,-0.007682685025004129,-0.019282202887260097,0.016729880890599944,-5.175046461841344e-05,-0.0068229394546478654,5
Influenza_A|segment_2_PB1|NC_002017,NC_002017,Influenza A,segment_2_PB1,1778,"NC_002017.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 4, complete sequence",Influenza_A|segment_2_PB1|NC_002017,reference,,Orthomyxoviridae,0,0,,,,0.009725377866369917,-0.004049651903221042,-0.0003141663735631927,0.0029472268296403125,0.0029931065525156623,0.00040834620522217126,0
Influenza_A|segment_3_PA|NC_002018,NC_002018,Influenza A,segment_3_PA,1413,"NC_002018.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 6, complete sequence",Influenza_A|segment_3_PA|NC_002018,reference,,Orthomyxoviridae,0,0,,,,0.00019311057891414072,-0.0012583604489431023,-0.00582311018871476,0.010409951634084945,0.004272469136906787,0.0019880524730223866,5
Influenza_A|segment_4_HA|NC_002019,NC_002019,Influenza A,segment_4_HA,1565,"NC_002019.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 5, complete sequence",Influenza_A|segment_4_HA|NC_002019,reference,,Orthomyxoviridae,0,0,,,,0.010611422359225124,-0.00955189801677804,-0.010586410936532011,-0.0007126497083101993,0.008474851854619457,-0.003901006094282226,0
Influenza_A|segment_5_NP|NC_002020,NC_002020,Influenza A,segment_5_NP,890,"NC_002020.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 8, complete sequence",Influenza_A|segment_5_NP|NC_002020,reference,,Orthomyxoviridae,0,0,,,,0.010575128221390935,-0.004522124064784097,-0.016278384237901816,-0.010024267298576042,-0.014449712714943334,-0.011780542801889417,1
Influenza_A|segment_6_NA|NC_002021,NC_002021,Influenza A,segment_6_NA,2341,"NC_002021.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 2, complete sequence",Influenza_A|segment_6_NA|NC_002021,reference,,Orthomyxoviridae,0,0,,,,0.008172562752461053,-0.0034832547439152903,-0.0019145148615385226,-0.0011608025042919366,0.0020663649302679332,0.0012198049437455094,0
